Time (s),Distance (mm)
0.0,2055
0.095529,2052
0.192589,2054
0.290201,2052
0.387012,2048
0.486768,2045
0.580455,2045
0.677484,2047
0.774866,2046
0.871373,2048
0.970585,2046
1.066111,2054
1.162457,2047
1.260059,2046
1.357233,2052
1.45459,2052
1.5516,2047
1.647449,2051
1.744548,2050
1.843738,2054
1.938819,2055
2.035819,2045
2.134259,2047
2.229807,2054
2.326202,2051
2.423983,2053
2.520486,2051
2.618764,2047
2.714835,2049
2.812666,2048
2.908807,2052
3.005724,2049
3.102789,2049
3.199388,2045
3.297203,2045
3.393812,2053
3.490247,2051
3.587665,2051
3.686141,2060
3.781957,942
3.878957,176
3.975975,165
4.074541,258
4.173473,447
4.270774,473
4.3783,476
4.469472,473
4.569546,465
4.667989,457
4.766113,449
4.865282,387
4.961762,382
5.05838,465
5.155367,573
5.251914,639
5.349529,824
5.44691,976
5.543875,1069
5.640297,1115
5.73749,837
5.836025,565
5.931425,455
6.028268,392
6.125803,364
6.22245,343
6.319282,319
6.417053,294
6.513144,296
6.611461,298
6.707184,299
6.805201,295
6.902243,298
6.999434,297
7.095854,297
7.192827,297
7.289576,299
7.386539,298
7.485208,298
7.580175,301
7.677674,298
7.774569,297
7.872157,299
7.969349,298
8.065906,296
8.162687,297
8.260161,299
8.356952,299
8.454285,299
8.550976,298
8.647762,299
8.744908,297
8.841761,296
8.938402,301
9.03592,297
9.132848,298
9.230222,297
9.327114,300
9.423603,298
9.520591,298
9.618383,300
9.714599,300
9.811562,298
9.908577,299
10.005998,297
