Time (s),Distance (mm)
0.0,398
0.088064,398
0.182625,399
0.280628,396
0.376986,397
0.475863,397
0.572713,398
0.670174,394
0.769858,397
0.867362,396
0.973442,398
1.063766,396
1.163806,398
1.266898,397
1.356912,398
1.456261,395
1.553014,397
1.649761,397
1.746487,397
1.84627,398
1.94399,395
2.040068,398
2.13926,399
2.238821,397
2.334964,398
2.431675,397
2.531752,395
2.628305,399
2.727118,398
2.855521,398
2.940357,398
3.022549,396
3.119321,398
3.215749,398
3.312361,399
3.41193,398
3.510614,398
3.629141,396
3.706745,398
3.806318,396
3.904833,397
4.00659,396
4.101487,399
4.198043,396
4.294579,397
4.392693,396
4.491285,397
4.587858,396
4.686811,396
4.783829,396
4.882885,398
4.979425,397
5.076951,396
5.174237,396
5.270743,396
5.367746,398
5.46658,398
5.564069,398
5.663751,396
5.762338,396
5.858806,397
5.955313,396
6.054921,400
6.156496,397
6.253266,397
6.349946,397
6.447206,398
6.544098,397
6.640688,399
6.739505,396
6.836461,396
6.933589,397
7.030465,396
7.12788,398
7.225037,397
7.321638,398
7.419265,398
7.515872,397
7.614331,396
7.720905,399
7.806436,398
7.905946,397
8.002498,397
8.099494,398
8.198974,398
8.296092,397
8.394944,397
8.491201,396
8.588174,398
8.685145,397
8.810276,397
8.881954,395
8.978442,396
9.075977,397
9.174187,398
9.271281,396
9.368874,396
9.46547,393
9.562876,399
9.662121,397
9.761294,397
9.857819,397
9.957179,397
10.055526,397
10.152057,399
10.252344,398
10.350901,399
10.449282,396
10.546312,396
10.643804,398
10.739519,396
10.838998,395
10.935735,399
11.040244,398
11.131819,398
11.230321,400
11.330294,398
11.427157,398
11.52535,397
11.625201,396
11.72425,396
11.820643,398
11.91837,399
12.028925,397
12.111409,395
12.208951,400
12.307449,398
12.406733,396
12.504305,398
12.601109,398
12.69802,398
12.795497,397
12.89247,395
12.98946,400
13.086908,395
13.184703,398
13.281265,396
13.378819,398
13.47785,397
13.576882,398
13.675452,396
13.77203,398
13.86748,397
13.965363,397
14.06491,398
14.16145,399
14.259689,394
14.356673,396
14.454322,397
14.553203,398
14.651571,398
14.751302,397
14.849821,400
14.949306,396
15.054355,398
15.14587,397
15.243075,398
15.346614,396
15.438361,396
15.534783,397
15.63234,396
15.729369,396
15.825927,396
15.923483,397
16.020033,397
16.117588,398
16.214149,396
16.311706,396
16.408477,399
16.507041,397
16.604683,394
16.702652,398
16.802218,396
16.898976,398
16.997851,397
17.09264,395
17.18947,397
17.287053,399
17.385629,398
17.484734,396
17.581764,398
17.679303,398
17.785164,397
17.875092,398
17.971566,397
18.070939,397
18.16843,397
18.269001,397
18.362546,398
18.459377,397
18.556183,397
18.653077,396
18.749663,396
18.847026,395
18.945539,396
19.043136,398
19.142553,396
19.239614,399
19.338955,396
19.434851,395
19.534105,396
19.628329,399
19.72559,396
19.824181,395
19.921325,397
20.02011,396
20.118386,398
20.214562,397
20.311641,397
20.411312,398
20.507915,399
20.604744,399
20.70165,397
20.798859,397
20.896309,398
20.993134,397
21.090593,399
21.187151,398
21.284179,395
21.380832,397
21.480221,398
21.57676,396
21.673603,397
21.771102,398
21.869436,398
21.968976,397
22.066089,395
22.162627,398
22.262176,398
22.360988,399
22.460597,395
22.557169,398
22.655811,396
22.753022,397
22.85012,397
22.946471,396
23.04401,396
23.141555,398
23.240074,399
23.338565,396
23.435942,395
23.535058,395
23.633613,396
23.732859,397
23.829382,398
23.927015,398
24.02359,398
24.123029,398
24.221597,397
24.318966,399
24.418434,398
24.514934,397
24.611774,396
24.708646,399
24.810749,399
24.907015,397
25.003403,397
25.10089,399
25.198436,396
25.294997,400
25.391923,399
25.490813,398
25.58782,398
25.687282,397
25.783817,399
25.882901,398
25.979396,398
26.079218,398
26.177918,398
26.275065,398
26.373424,396
26.471156,397
26.567573,397
26.664183,397
26.762918,398
26.858987,396
26.955546,397
27.082251,395
27.149798,398
27.246374,399
27.346968,399
27.443232,396
27.540111,397
27.636817,397
27.733399,396
27.832953,398
27.929516,398
28.029075,398
28.126099,399
28.224662,397
28.32223,396
28.418377,398
28.515935,397
28.613125,396
28.709523,398
28.809269,396
28.905597,396
29.002894,396
29.100423,397
29.197277,397
29.29342,398
29.392066,400
29.492129,398
29.590693,395
29.687583,396
29.807689,397
29.881712,398
29.97926,396
30.075366,395
30.173274,396
30.271588,397
30.368152,398
30.466086,399
30.562623,398
30.660095,397
30.756967,397
30.856109,398
30.95256,398
31.052977,398
31.146324,397
31.243389,397
31.349426,397
31.438079,398
31.560033,396
31.651659,398
31.729862,396
31.825403,396
31.924907,397
32.021421,396
32.130937,397
32.218404,398
32.316883,396
32.413814,395
32.51036,399
32.608453,397
32.706242,398
32.803652,399
32.902366,398
32.999534,397
33.099309,398
33.197721,400
33.294749,396
33.391502,396
33.488523,400
33.587652,398
33.686784,396
33.783808,399
33.880205,400
33.979952,395
34.077387,399
34.175951,396
34.272481,396
34.369581,398
34.466828,396
34.563345,397
34.660656,396
34.758319,396
34.854659,397
34.951895,397
35.049198,396
35.145756,395
35.245269,397
35.343838,398
35.443143,399
35.542059,397
35.638623,398
35.735602,395
35.83512,397
35.931663,393
36.02838,399
36.124601,397
36.222141,397
36.318798,397
36.418782,394
36.515281,398
36.614269,397
36.711151,396
36.807802,399
36.904265,396
37.002306,397
37.09876,396
37.195583,395
37.293585,396
37.390429,399
37.489084,398
37.588185,398
37.684773,398
37.784297,399
37.883769,397
37.981991,397
38.079144,396
38.17625,397
38.272806,396
38.371341,396
38.471103,398
38.567644,398
38.664463,396
38.764139,397
38.861053,396
38.958157,398
39.055201,394
39.152077,398
39.250856,399
39.347671,397
39.445473,398
39.542025,398
39.638271,397
39.735436,396
39.832984,397
39.932464,399
40.028617,396
40.125336,398
40.223155,394
40.319616,400
40.418998,396
40.518826,397
40.617422,394
40.714667,397
40.811634,397
40.908745,397
41.005541,398
41.120241,397
41.201597,395
41.297807,398
41.394802,397
41.492532,398
41.589179,397
41.687639,396
41.801713,399
41.884246,395
41.980626,399
42.078157,395
42.188718,397
42.275669,398
42.370765,398
42.467219,400
42.56714,398
42.665676,398
42.764524,397
42.861409,398
42.959717,397
43.055606,399
43.153272,398
43.278795,398
43.349352,396
43.447536,398
43.546064,397
43.64162,398
43.741386,397
43.83789,397
43.935576,395
44.031892,397
44.20281,397
44.229268,394
44.322818,399
44.422365,399
44.521009,397
44.618491,398
44.71728,399
44.813804,396
44.91135,398
45.007588,397
45.105228,398
45.201711,398
45.298718,398
45.397361,397
45.494258,398
45.591337,396
45.689046,398
45.787533,398
45.885076,397
45.983575,398
46.082276,398
46.181802,397
46.279286,399
46.378272,397
46.47476,396
46.573714,397
46.672756,396
46.770282,399
46.868764,400
46.968318,395
47.065014,396
47.163555,396
47.270022,398
47.359571,397
47.459277,397
47.557316,396
47.654411,395
47.754078,397
47.850565,397
47.950102,395
48.046597,396
48.143767,397
48.241305,393
48.339953,396
48.438735,395
48.53367,398
48.631274,398
48.729797,396
48.827297,397
48.923831,399
49.023183,395
49.120001,399
49.216955,398
49.315459,397
49.412426,397
49.510439,397
49.606934,396
49.70309,399
49.802649,398
49.902137,397
50.00124,396
