Time (s),Distance (mm)
0.0,183
0.075105,182
0.173704,182
0.27356,182
0.37128,183
0.470988,182
0.569575,180
0.668191,179
0.767517,179
0.868683,177
0.968106,182
1.065769,181
1.164207,181
1.263079,182
1.362372,184
1.460793,184
1.560238,188
1.658542,189
1.757766,188
1.856291,187
1.956168,188
2.059927,188
2.153704,187
2.252737,189
2.352185,184
2.450395,187
2.55025,187
2.64849,190
2.74769,189
2.847216,190
2.945364,190
3.045233,189
3.142517,189
3.242388,191
3.339241,192
3.436192,193
3.536287,191
3.634699,184
3.733539,188
3.832799,184
3.930831,194
4.030994,192
4.129202,194
4.227862,195
4.327071,195
4.426021,193
4.524376,195
4.624673,196
4.722349,198
4.822313,195
4.918732,196
5.01861,198
5.116452,193
5.215746,198
5.313551,194
5.410131,191
5.509137,195
5.608378,195
5.705233,192
5.804384,191
5.902421,192
6.000369,195
6.099835,191
6.196434,195
6.294688,198
6.394653,197
6.493314,193
6.64011,190
6.700249,196
6.79021,196
6.886612,191
6.986035,195
7.081247,195
7.180402,193
7.279854,194
7.376096,193
7.473961,198
7.571801,193
7.671328,198
7.769568,197
7.869038,197
7.995479,196
8.067521,201
8.166284,194
8.264327,195
8.364253,200
8.463067,199
8.560248,204
8.659424,200
8.75823,199
8.856785,197
8.956648,197
9.055353,197
9.153781,198
9.253059,199
9.352554,200
9.450146,200
9.549454,200
9.648758,197
9.748266,196
9.846831,193
9.946537,194
10.044601,197
