Time (s),Distance (mm)
0.0,2051
0.049184,2048
0.145716,2044
0.242072,2051
0.339222,2052
0.437499,2058
0.537184,2051
0.630719,2041
0.728793,2058
0.824728,2051
0.932897,2049
1.022546,2051
1.115314,2048
1.212067,2051
1.30986,2046
1.406421,2057
1.502997,2049
1.615659,2049
1.699246,2049
1.794691,2055
1.891778,2055
1.988458,2053
2.085502,2045
2.182073,2045
2.279062,2055
2.376332,2060
2.472962,2049
2.570826,2062
2.670359,2044
2.76506,2046
2.861688,2048
2.958582,2051
3.055168,2060
3.152856,2052
3.279107,2054
3.346814,2048
3.444079,2045
3.541758,2047
3.637662,2052
3.73439,2046
3.831122,2057
3.929224,2052
4.025751,2045
4.122659,2050
4.221083,2042
4.315931,2050
4.412156,2046
4.510406,2049
4.607028,2045
4.70407,2047
4.801162,2051
4.897244,2055
4.995004,2041
5.091022,2048
5.189111,2051
5.287121,2055
5.382765,2054
5.480165,2052
5.577284,2058
5.673017,2044
5.770858,2047
5.867893,2053
5.964842,2051
6.061608,2049
6.158543,2049
6.255612,2054
6.352825,2053
6.449242,2054
6.54761,2044
6.643796,2040
6.740953,2047
6.838912,2048
6.936789,2042
7.032029,2046
7.128789,2058
7.226832,2051
7.322114,2049
7.419702,2048
7.516198,2049
7.614844,2047
7.710327,2050
7.80848,2049
7.904633,2052
8.002529,2053
8.09893,2058
8.196208,2047
8.293724,2048
8.389838,2052
8.487017,2055
8.585319,2051
8.681846,2050
8.777535,2052
8.874556,2046
8.97144,2052
9.068992,2061
9.165759,2046
9.263191,2046
9.359888,2049
9.456076,2045
9.554301,2050
9.651449,2057
9.747852,2049
9.844478,2052
9.941668,2045
10.04007,2048
10.13534,2053
10.233135,2048
10.329796,2051
10.426774,2056
10.523204,2038
10.620444,2054
10.71667,2049
10.814867,2045
10.911274,2053
11.008617,2034
11.105329,2055
11.202634,2048
11.30007,2053
11.396786,2048
11.550307,2046
11.599375,2053
11.687662,2055
11.785078,2050
11.882364,2052
11.978887,2057
12.075787,2047
12.172764,2047
12.270001,2046
12.368557,2055
12.476596,2050
12.56312,2052
12.669286,2049
12.758041,2054
12.851165,2049
12.948595,2055
13.045546,2051
13.14274,2045
13.240021,2047
13.336585,2053
13.434156,2047
13.530709,2047
13.628273,2053
13.724914,2052
13.821923,2058
13.918477,2044
14.01521,2055
14.111868,2059
14.210049,2042
14.307018,2040
14.403594,2048
14.501049,2051
14.59811,2052
14.694655,2045
14.805055,2047
14.888582,2051
14.988408,2052
15.175531,2050
15.179534,2057
15.276036,2051
15.374574,2043
15.471233,2054
15.568492,2055
15.664868,2049
15.762232,2052
15.858231,2055
15.956331,2046
16.059102,2049
16.150018,2048
16.25772,2048
16.343942,2052
16.440192,2050
16.53861,2045
16.6362,2050
16.732766,2052
16.82919,2049
16.927618,2048
17.023092,2047
17.120282,2061
17.217896,2055
17.313908,2048
17.410348,2048
17.508882,2049
17.60658,2053
17.701319,2046
17.798893,2049
17.895674,2056
17.992986,2057
18.08889,2054
18.214194,2047
18.283405,2049
18.380862,2053
18.478161,2045
18.57474,2051
18.705453,2053
18.768894,2047
18.867663,2053
18.962756,2050
19.059145,2051
19.156178,2054
19.253236,2042
19.350643,2050
19.447131,2043
19.544986,2050
19.641025,2053
19.738466,2057
19.836446,2052
19.933526,2040
20.030454,2048
20.126921,2058
20.223823,2048
20.32102,2050
20.417682,2054
20.529517,2047
20.611744,2042
20.70837,2042
20.805895,2051
20.902608,2062
21.000034,2052
21.096364,2048
21.193756,2050
21.290342,2041
21.388022,2050
21.484326,2059
21.581872,2051
21.678664,2041
21.776002,2050
21.872435,2049
21.969441,2052
22.066828,2050
22.163942,2054
22.260673,2050
22.357892,2046
22.455126,2052
22.551781,2049
22.648817,2054
22.746044,2049
22.842456,2057
22.93977,2048
23.036409,2053
23.134016,2046
23.238281,2053
23.327029,2044
23.425611,2056
23.521415,2045
23.618998,2056
23.716325,2050
23.815193,2050
23.909984,2053
24.006345,2042
24.104137,2047
24.200457,2049
24.29786,2044
24.39414,2056
24.492017,2049
24.588271,2040
24.685509,2040
24.783065,2060
24.879854,2045
24.977498,2046
25.075532,2049
25.170001,2051
25.268038,2052
25.364164,2050
25.461556,2052
25.56013,2054
25.655384,2050
25.768178,2044
25.849125,2054
25.946679,2053
26.044068,2039
26.141318,2054
26.237499,2054
26.334055,2047
26.431874,2043
26.528389,2047
26.62588,2050
26.723696,2047
26.820111,2050
26.934461,2048
27.017489,2050
27.11124,2050
27.207739,2050
27.30489,2045
27.401805,2047
27.498849,2052
27.595817,2049
27.744474,2047
27.789411,2048
27.889507,2057
27.98349,2044
28.080698,2049
