Time (s),Distance (mm)
0.0,268
0.067996,270
0.170373,270
0.261999,269
0.359432,268
0.480017,271
0.553015,270
0.649824,269
0.746921,269
0.844099,270
0.941421,270
1.03726,266
1.134913,271
1.234902,270
1.328644,270
1.42605,272
1.526492,270
1.619491,270
1.717012,269
1.813432,268
1.910875,271
2.008525,269
2.105163,270
2.201881,270
2.298476,268
2.396049,270
2.492826,270
2.590069,266
2.68702,269
2.783691,270
2.880568,269
2.977626,270
3.075527,269
3.174285,268
3.268362,268
3.365661,270
3.462925,268
3.559558,269
3.657015,269
3.754097,269
3.850769,269
3.947706,270
4.044131,269
4.141394,271
4.240025,270
4.336872,269
4.431552,270
4.530054,269
4.626578,270
4.724593,287
4.820296,353
4.918283,481
5.015004,753
5.111335,1245
5.208375,1765
5.305941,1834
5.403274,1768
5.49988,1164
5.597074,815
5.69406,638
5.791007,559
5.898611,515
5.984233,507
6.08218,540
6.178392,705
6.277162,1213
6.373342,1868
6.470132,2011
6.567069,2044
6.664197,2045
6.827678,2044
6.873264,2048
6.954785,2048
7.051735,2049
7.149059,2047
7.24646,2051
7.343031,2058
7.439991,2054
7.536311,2054
7.633539,2053
7.731208,2048
7.828193,2056
7.925957,2049
8.022554,2050
8.124342,2048
8.234608,2055
8.312337,2049
8.410169,2046
8.506248,2044
8.604607,2053
8.700425,2047
8.797955,2048
8.894288,2051
8.991892,2055
9.088344,2057
9.18693,2048
9.282831,2049
9.380473,2047
9.477483,2047
9.573932,2050
9.670449,2054
9.767683,2048
9.865013,2048
9.96142,2056
10.058273,2052
