Time (s),Distance (mm)
0.0,2048
0.092191,2043
0.189573,2045
0.300701,2053
0.383503,2050
0.479665,2047
0.576674,2051
0.673803,2047
0.770739,2046
0.872266,2051
0.96507,2055
1.062197,2056
1.158806,2040
1.256462,2055
1.352689,2054
1.450046,2055
1.547196,2050
1.64421,2042
1.741684,2049
1.837734,2045
1.935352,2050
2.032362,2052
2.128573,2053
2.227002,2049
2.323765,2048
2.420389,2051
2.517404,2053
2.614337,2046
2.711502,2050
2.807615,2050
2.90531,2045
3.00213,2056
3.117046,2054
3.200649,2049
3.293191,2047
3.390655,2047
3.488196,2049
3.584863,2050
3.680966,2052
3.778719,2053
3.894733,2054
3.972342,2048
4.069457,2055
4.165779,2044
4.263429,2049
4.360417,2047
4.456856,2045
4.554901,2054
4.6523,2044
4.747999,2049
4.844972,2039
4.942997,2021
5.039403,1995
5.137126,1966
5.233298,1167
5.330461,381
5.427289,195
5.524781,139
5.62191,127
5.720038,123
5.81874,120
5.918309,117
6.01767,107
6.115389,102
6.361619,99
6.361619,97
6.43015,98
6.509789,95
6.609137,95
6.70766,100
6.806846,108
6.905158,119
7.002797,127
7.101579,127
7.200863,123
7.299993,124
7.398583,131
7.498225,153
7.596881,193
7.695549,295
7.792942,397
7.891324,432
7.988442,454
8.085661,491
8.183585,551
8.27945,629
8.377484,731
8.473778,920
8.570698,1483
8.669905,1867
8.765589,1945
8.862314,1979
8.958969,2032
9.055849,2032
9.153195,2034
9.251054,2052
9.346341,2042
9.444188,2038
9.54091,2044
9.638266,2045
9.735515,2049
9.831785,2050
9.929929,2048
10.036791,2047
