Time (s),Distance (mm)
0.0,2046
0.017724,2044
0.114893,2048
0.212222,2055
0.309872,2046
0.406868,2053
0.504148,2050
0.600307,2051
0.697402,2051
0.794977,2045
0.891697,2060
0.989184,2047
1.08523,2049
1.182743,2052
1.282606,2049
1.375569,2054
1.477243,2050
1.569651,2051
1.667241,2053
1.763514,2045
1.861315,2055
1.957809,2056
2.055597,2047
2.152231,2048
2.248794,2052
2.3458,2056
2.442727,2048
2.53989,2053
2.638143,2052
2.734172,2046
2.830804,2048
2.927335,2049
3.024782,2043
3.12181,2058
3.218339,2044
3.316096,2047
3.413436,2044
3.510424,2047
3.608004,2046
3.704963,2047
3.800787,2047
3.897685,2043
4.003684,2052
4.092565,2045
4.189808,2059
4.287045,2042
4.384329,2049
4.479756,2056
4.576879,2054
4.673768,2049
4.77275,2035
4.868944,1999
4.965486,1698
5.061741,516
5.157869,250
5.282399,253
5.351955,312
5.44852,362
5.546479,387
5.644887,396
5.742484,397
5.839046,395
5.935675,391
6.032852,408
6.132382,433
6.230905,462
6.328443,481
6.424973,494
6.547538,496
6.686257,491
6.718108,431
6.813862,254
6.913167,155
7.011255,130
7.110012,125
7.208793,188
7.30763,409
7.40556,488
7.501891,973
7.59847,1938
7.702031,2016
7.793644,2043
7.890585,2050
7.987139,2056
8.083689,2047
8.181253,2050
8.277813,2047
8.375786,2053
8.472354,2046
8.569252,2045
8.665794,2053
8.763356,2048
8.859533,2056
8.957102,2048
9.053831,2055
9.150676,2047
9.247847,2053
9.345331,2054
9.441444,2046
9.539345,2054
9.636321,2053
9.733163,2054
9.830806,2053
9.927552,2044
10.025785,2045
